id_avis,id_produit,id_client,id_achat,commentaire,note
1,1,3,1,Suspendisse ornare consequat lectus.,3.0
2,5,4,3,Integer non velit.,2.3
3,8,5,4,Pellentesque ultrices mattis odio. Donec vitae nisi.,3.4
4,10,6,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,3.0
5,13,7,9,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,4.1
6,14,10,14,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1.7
7,18,11,16,Etiam vel augue. Vestibulum rutrum rutrum neque.,2.4
8,20,14,22,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,0.6
9,21,15,23,Integer ac neque.,2.0
10,22,16,26,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",3.5
11,29,17,29,Cras non velit nec nisi vulputate nonummy.,3.3
12,31,18,30,Donec posuere metus vitae ipsum. Aliquam non mauris.,4.5
13,32,20,31,Sed accumsan felis.,4.0
14,39,21,51,Vestibulum ac est lacinia nisi venenatis tristique.,3.5
15,44,22,54,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,3.2
16,46,27,56,Aliquam erat volutpat. In congue.,4.6
17,49,28,58,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,5.0
18,52,32,61,Duis aliquam convallis nunc.,3.7
19,53,37,63,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,4.4
20,55,38,64,Donec dapibus. Duis at velit eu est congue elementum.,2.0
21,58,41,65,Curabitur in libero ut massa volutpat convallis.,1.2
22,59,43,69,Morbi a ipsum. Integer a nibh.,3.0
23,60,45,71,In hac habitasse platea dictumst.,0.2
24,62,48,75,Aliquam non mauris. Morbi non lectus.,3.8
25,63,52,77,Vivamus vestibulum sagittis sapien.,3.2
26,68,54,78,Pellentesque at nulla. Suspendisse potenti.,1.4
27,69,58,80,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",4.9
28,79,62,81,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,0.9
29,81,65,85,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,1.6
30,82,70,90,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",4.6
31,87,71,92,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",0.5
32,90,72,93,In hac habitasse platea dictumst.,0.1
33,96,73,94,Proin eu mi.,0.6
34,97,74,95,Duis mattis egestas metus. Aenean fermentum.,0.3
35,98,75,98,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,0.0
36,100,77,101,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",3.1
37,102,79,104,In congue. Etiam justo.,5.0
38,105,80,105,Mauris ullamcorper purus sit amet nulla.,4.1
39,106,83,106,Nunc nisl.,1.4
40,107,87,107,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,2.3
41,108,88,108,Fusce posuere felis sed lacus.,4.2
42,110,89,110,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1.3
43,112,92,117,Proin risus. Praesent lectus.,3.6
44,119,95,118,Donec posuere metus vitae ipsum.,4.4
45,121,96,119,Morbi quis tortor id nulla ultrices aliquet.,1.0
46,126,97,121,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,3.0
47,127,100,125,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",3.5
48,129,106,130,Ut tellus.,4.8
49,135,107,135,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",3.5
50,137,108,139,Vivamus vel nulla eget eros elementum pellentesque.,3.6
51,138,117,142,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",2.5
52,141,119,145,Phasellus sit amet erat. Nulla tempus.,3.6
53,142,124,146,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",0.3
54,144,125,149,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1.5
55,145,126,151,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,1.6
56,146,127,153,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",1.2
57,147,128,155,Vivamus in felis eu sapien cursus vestibulum.,2.9
58,148,129,157,In eleifend quam a odio. In hac habitasse platea dictumst.,2.8
59,155,134,158,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,1.9
60,156,137,159,Etiam faucibus cursus urna. Ut tellus.,4.4
61,157,140,161,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",3.0
62,158,144,166,Proin eu mi.,2.6
63,161,146,167,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1.3
64,163,147,168,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.2
65,166,148,171,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",1.7
66,167,153,173,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1.0
67,169,157,174,Vestibulum ac est lacinia nisi venenatis tristique.,3.9
68,170,158,179,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",0.0
69,175,159,182,Proin interdum mauris non ligula pellentesque ultrices.,1.3
70,176,163,183,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,1.5
71,179,164,185,Morbi porttitor lorem id ligula.,0.9
72,181,167,186,Nulla mollis molestie lorem.,4.5
73,185,171,192,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",3.1
74,186,173,193,Nulla tellus. In sagittis dui vel nisl.,1.4
75,187,174,195,Duis aliquam convallis nunc.,2.4
76,192,179,196,Quisque ut erat.,4.9
77,193,187,197,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.1
78,195,189,198,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",0.3
79,196,191,200,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0.6
80,197,197,204,Integer a nibh. In quis justo.,2.9
81,205,199,207,Nulla suscipit ligula in lacus.,0.3
82,207,204,208,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0.7
83,208,205,209,Maecenas ut massa quis augue luctus tincidunt.,0.5
84,209,206,210,Pellentesque ultrices mattis odio. Donec vitae nisi.,3.7
85,210,218,213,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1.0
86,211,219,216,Vivamus in felis eu sapien cursus vestibulum.,4.8
87,212,221,221,Curabitur convallis.,2.4
88,213,222,222,Vivamus vestibulum sagittis sapien.,1.5
89,215,223,229,In blandit ultrices enim.,1.6
90,218,229,233,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",4.2
91,222,233,241,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,1.4
92,225,234,242,Praesent blandit. Nam nulla.,4.9
93,229,238,243,Donec ut mauris eget massa tempor convallis.,0.3
94,230,243,246,Nulla tellus. In sagittis dui vel nisl.,1.5
95,231,248,251,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",0.1
96,234,249,253,Phasellus id sapien in sapien iaculis congue.,1.0
97,236,251,255,Donec vitae nisi.,0.8
98,239,255,257,In eleifend quam a odio.,2.0
99,240,257,259,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",4.4
100,244,259,260,Cras in purus eu magna vulputate luctus.,4.2
101,249,260,261,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,2.8
102,256,261,262,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",4.7
103,258,263,263,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",1.7
104,261,265,264,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2.9
105,263,267,266,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",5.0
106,265,271,270,Nunc purus.,3.3
107,266,273,274,Praesent blandit lacinia erat.,2.3
108,267,277,276,Nulla mollis molestie lorem.,1.2
109,268,283,279,Quisque ut erat.,1.7
110,269,285,280,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2.9
111,274,287,282,Nulla facilisi.,1.8
112,276,288,283,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",0.9
113,277,290,284,Aliquam erat volutpat.,1.1
114,280,292,293,Nulla tellus. In sagittis dui vel nisl.,3.5
115,281,296,299,In hac habitasse platea dictumst.,4.8
116,282,297,305,Aliquam erat volutpat. In congue.,2.0
117,288,300,308,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",3.6
118,289,302,310,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,1.2
119,294,303,311,Praesent id massa id nisl venenatis lacinia.,3.4
120,295,305,314,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,0.4
121,297,308,319,Duis aliquam convallis nunc.,3.4
122,298,311,321,Cras pellentesque volutpat dui.,4.6
123,299,312,323,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4.3
124,301,313,324,Duis at velit eu est congue elementum.,0.9
125,304,316,326,Suspendisse potenti.,2.5
126,310,320,328,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",3.6
127,311,323,329,Vestibulum ac est lacinia nisi venenatis tristique.,4.8
128,313,324,332,Duis mattis egestas metus. Aenean fermentum.,3.7
129,314,339,333,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2.3
130,315,342,338,In hac habitasse platea dictumst.,0.4
131,316,343,339,Morbi porttitor lorem id ligula.,4.4
132,318,344,341,In congue.,1.9
133,322,346,354,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",4.8
134,328,347,355,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0.0
135,333,353,357,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2.3
136,336,354,361,Nunc rhoncus dui vel sem.,1.4
137,339,355,362,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,0.8
138,344,360,363,Nunc nisl.,2.2
139,348,361,364,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1.8
140,351,362,367,Donec ut dolor.,1.8
141,354,365,369,Maecenas pulvinar lobortis est.,4.9
142,355,366,370,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,4.1
143,356,367,371,In congue.,0.9
144,360,368,373,Duis mattis egestas metus.,1.1
145,363,369,376,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",0.0
146,364,373,378,Nulla nisl.,0.1
147,367,376,380,Nulla suscipit ligula in lacus.,4.6
148,368,384,391,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,2.2
149,371,386,394,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",3.1
150,374,391,396,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,0.6
