id_livraison,compagnie,telephone,adresse
1,UPS,0921193318,3950 Johnson Trail
2,UPS,0683787199,43 Anderson Park
3,DHL,0917866475,346 Algoma Pass
4,DHL,0149278998,03129 Chinook Way
5,COLISSIMO,0957826559,91002 Pine View Circle
6,UPS,0105666060,6 Becker Hill
7,COLISSIMO,0198804246,73680 Hansons Point
8,COLISSIMO,0869900037,0937 Westend Park
9,UPS,0869009122,5 4th Parkway
10,COLISSIMO,0976735812,0069 Dixon Center
11,COLISSIMO,0908295443,5 Maple Street
12,UPS,0768930708,834 Oneill Lane
13,DHL,0935993580,450 Stuart Hill
14,COLISSIMO,0742347179,4367 Main Lane
15,DHL,0953799075,36743 Memorial Hill
16,COLISSIMO,0613141707,2120 Pierstorff Road
17,DHL,0726525259,100 Transport Junction
18,DHL,0621655653,176 Steensland Crossing
19,COLISSIMO,0926988775,5083 Calypso Pass
20,COLISSIMO,0165783634,657 Southridge Plaza
21,UPS,0956015238,59 Macpherson Alley
22,DHL,0800493804,9604 Calypso Parkway
23,UPS,0887138282,8 Kennedy Trail
24,COLISSIMO,0923283295,74 Ruskin Junction
25,COLISSIMO,0986948796,60069 Myrtle Crossing
26,UPS,0953181302,75300 East Hill
27,UPS,0651342709,9279 Green Junction
28,DHL,0711654264,06751 Declaration Point
29,DHL,0141218493,00 Burrows Point
30,COLISSIMO,0657447731,40 Rutledge Road
31,UPS,0805640272,3708 Northview Parkway
32,DHL,0997911512,4517 Hanson Terrace
33,DHL,0823918177,61 Pierstorff Lane
34,COLISSIMO,0807395491,784 Del Mar Road
35,DHL,0856179294,2 Troy Avenue
36,UPS,0945014423,217 Dovetail Junction
37,DHL,0689014764,910 Transport Parkway
38,COLISSIMO,0951172723,8 Messerschmidt Terrace
39,COLISSIMO,0874790881,53855 Pankratz Place
40,DHL,0655555603,157 Charing Cross Place
41,COLISSIMO,0886841650,7046 Dawn Court
42,UPS,0809564819,36 Darwin Alley
43,UPS,0831993077,8201 Golf Crossing
44,COLISSIMO,0914826567,03 Rutledge Street
45,COLISSIMO,0917164764,1 Briar Crest Way
46,UPS,0694831206,350 Ilene Alley
47,UPS,0956829658,5 Village Green Lane
48,COLISSIMO,0888292187,19398 Texas Junction
49,COLISSIMO,0978701218,772 Anderson Parkway
50,COLISSIMO,0770812314,90020 Lindbergh Crossing
51,COLISSIMO,0789224197,1663 Annamark Point
52,COLISSIMO,0945806278,2 Larry Park
53,UPS,0964469104,2 Mosinee Point
54,COLISSIMO,0810447466,0922 Gina Crossing
55,DHL,0998340583,55 Moulton Parkway
56,DHL,0967283064,090 Buhler Pass
57,DHL,0844595719,085 Anhalt Circle
58,UPS,0732678149,126 Thompson Drive
59,DHL,0993443122,0962 Division Pass
60,COLISSIMO,0945049223,5049 Dixon Alley
61,COLISSIMO,0826243268,6 Straubel Avenue
62,COLISSIMO,0979006734,98337 Goodland Drive
63,COLISSIMO,0735617771,171 Straubel Plaza
64,UPS,0185594551,0540 5th Plaza
65,UPS,0985193144,30 Briar Crest Place
66,DHL,0969186657,85 Arrowood Hill
67,COLISSIMO,0906342669,285 School Center
68,UPS,0707330403,2388 Buena Vista Junction
69,UPS,0161551964,16208 Marcy Street
70,COLISSIMO,0897088865,91 Leroy Hill
71,COLISSIMO,0969366146,82040 Eagan Park
72,COLISSIMO,0808761473,8 Clarendon Court
73,DHL,0910166045,3625 Russell Drive
74,COLISSIMO,0998613870,3859 Arkansas Point
75,DHL,0933422459,3 Ridgeview Center
76,COLISSIMO,0907387833,2749 Lerdahl Lane
77,COLISSIMO,0910321561,42781 Cottonwood Avenue
78,DHL,0885340978,71 Anthes Street
