id_produit,nom,prix,image,poids,synopsis
1,Mad Dog and Glory,4.01,http://dummyimage.com/105x100.png/dddddd/000000,1.85,Duis bibendum. Morbi non quam nec dui luctus rutrum.
2,Modesty Blaise,19.0,http://dummyimage.com/226x100.png/ff4444/ffffff,0.68,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
3,Beijing Bicycle (Shiqi sui de dan che),5.11,http://dummyimage.com/198x100.png/5fa2dd/ffffff,1.34,Integer a nibh. In quis justo.
4,Clifford,15.13,http://dummyimage.com/225x100.png/cc0000/ffffff,0.79,Mauris lacinia sapien quis libero.
5,The Butterfly Effect 2,7.67,http://dummyimage.com/152x100.png/cc0000/ffffff,1.19,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
6,Red Hill,18.03,http://dummyimage.com/207x100.png/dddddd/000000,0.93,Nulla suscipit ligula in lacus.
7,Air Force One,9.01,http://dummyimage.com/194x100.png/ff4444/ffffff,1.72,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
8,Exists,17.0,http://dummyimage.com/189x100.png/cc0000/ffffff,1.06,Nulla ut erat id mauris vulputate elementum.
9,The Magnet,14.12,http://dummyimage.com/147x100.png/cc0000/ffffff,0.92,Praesent blandit.
10,Reykjavik Whale Watching Massacre,1.54,http://dummyimage.com/196x100.png/5fa2dd/ffffff,1.25,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
11,Slumber Party '57,10.21,http://dummyimage.com/237x100.png/5fa2dd/ffffff,0.73,Nulla ac enim.
12,Series 7: The Contenders,13.2,http://dummyimage.com/229x100.png/cc0000/ffffff,0.16,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
13,Company Business,4.46,http://dummyimage.com/163x100.png/ff4444/ffffff,0.97,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
14,Rapt,2.04,http://dummyimage.com/162x100.png/5fa2dd/ffffff,1.85,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
15,White House Down,10.8,http://dummyimage.com/199x100.png/5fa2dd/ffffff,0.4,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
16,"10,000 BC",6.83,http://dummyimage.com/180x100.png/cc0000/ffffff,0.27,In hac habitasse platea dictumst.
17,Shine a Light,7.79,http://dummyimage.com/235x100.png/5fa2dd/ffffff,1.12,Nunc rhoncus dui vel sem.
18,"Lawless Street, A (Marshal of Medicine Bend)",7.44,http://dummyimage.com/243x100.png/ff4444/ffffff,0.24,Aliquam non mauris.
19,Point and Shoot,14.0,http://dummyimage.com/134x100.png/dddddd/000000,1.32,Suspendisse accumsan tortor quis turpis. Sed ante.
20,Popeye,17.85,http://dummyimage.com/117x100.png/5fa2dd/ffffff,0.25,Nullam varius. Nulla facilisi.
21,In Therapy (Divã),11.63,http://dummyimage.com/190x100.png/5fa2dd/ffffff,1.83,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
22,"Notebook, The",2.47,http://dummyimage.com/138x100.png/ff4444/ffffff,1.86,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam."
23,"Player, The",19.88,http://dummyimage.com/130x100.png/5fa2dd/ffffff,0.71,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
24,Torrente 3: El protector,8.25,http://dummyimage.com/192x100.png/5fa2dd/ffffff,0.59,Phasellus id sapien in sapien iaculis congue.
25,Sex and Breakfast,6.15,http://dummyimage.com/105x100.png/dddddd/000000,1.53,Proin at turpis a pede posuere nonummy.
26,Teenage Dirtbag,7.35,http://dummyimage.com/200x100.png/5fa2dd/ffffff,1.56,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
27,"Captain Newman, M.D.",4.03,http://dummyimage.com/189x100.png/ff4444/ffffff,1.15,Phasellus in felis. Donec semper sapien a libero.
28,Any Wednesday (Bachelor Girl Apartment),4.96,http://dummyimage.com/119x100.png/cc0000/ffffff,0.57,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
29,Alligator,19.96,http://dummyimage.com/151x100.png/5fa2dd/ffffff,1.07,Morbi vel lectus in quam fringilla rhoncus.
30,Land and Freedom (Tierra y libertad),14.21,http://dummyimage.com/123x100.png/5fa2dd/ffffff,1.03,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
31,Ju-on: The Curse,4.73,http://dummyimage.com/102x100.png/5fa2dd/ffffff,1.54,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
32,"Mists of Avalon, The",4.56,http://dummyimage.com/119x100.png/cc0000/ffffff,1.19,Nunc rhoncus dui vel sem. Sed sagittis.
33,Air Doll (Kûki ningyô),6.97,http://dummyimage.com/174x100.png/dddddd/000000,0.65,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
34,Message to Love: The Isle of Wight Festival,7.81,http://dummyimage.com/237x100.png/ff4444/ffffff,0.9,Duis mattis egestas metus.
35,Pekka ja Pätkä salapoliiseina,10.21,http://dummyimage.com/212x100.png/dddddd/000000,0.56,Aenean fermentum. Donec ut mauris eget massa tempor convallis.
